kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;50;490;932;1102;3;"[52,232,294]";"[497,2328,3032]";"[754,1102,1102]";"[1174,1131,1102]";7.00;8.00
2;50;490;5726;16081;3;"[52,1380,1451]";"[495,19296,20310]";"[8786,16081,16081]";"[16393,16117,16081]";29.00;39.00
2;50;490;1395;8395;4;"[52,281,471,486]";"[495,3591,5970,6156]";"[5399,8395,8395,8395]";"[8615,8525,8485,8395]";6.00;10.00
2;50;490;1855;7039;3;"[52,564,774]";"[497,9454,11904]";"[4882,7039,7039]";"[7873,7261,7039]";10.00;14.00
2;50;490;1335;11597;4;"[52,265,419,568]";"[494,4341,6438,8947]";"[7198,11597,11597,11597]";"[12421,11905,11601,11597]";8.00;12.00
2;50;490;339;618;5;"[52,167,176,185,194]";"[495,2249,2371,2443,2569]";"[334,618,618,618,618]";"[694,650,650,630,618]";4.00;4.00
2;50;490;2483;18577;2;"[52,1415]";"[494,17796]";"[12887,18577]";"[20347,18577]";11.00;13.00
2;50;490;368;1561;3;"[52,100,104]";"[496,1232,1268]";"[1221,1561,1561]";"[1801,1585,1561]";0.00;0.00
2;50;490;724;1321;3;"[52,320,392]";"[494,4690,5410]";"[789,1321,1321]";"[1501,1385,1321]";4.00;5.00
2;50;490;244;1660;4;"[52,112,134,148]";"[499,1439,1703,1828]";"[1475,1660,1660,1660]";"[1784,1684,1666,1660]";0.00;2.00
2;50;490;3658;17121;8;"[52,742,851,1232,1961,1966,2108,2467]";"[497,10597,12098,19274,28484,28519,30119,32007]";"[10804,17121,17121,17121,17121,17121,17121,17121]";"[19451,18946,18776,18031,18021,17971,17476,17121]";127.00;200.00
2;50;490;1320;1645;3;"[52,675,780]";"[494,7164,8295]";"[1054,1645,1645]";"[1764,1710,1645]";9.00;10.00
2;50;490;4379;4795;4;"[52,550,1164,1223]";"[494,9439,16133,16472]";"[2697,4795,4795,4795]";"[5450,4927,4800,4795]";23.00;32.00
2;50;490;766;2402;4;"[52,206,252,301]";"[497,2094,2648,2980]";"[1440,2402,2402,2402]";"[2666,2578,2538,2402]";2.00;4.00
2;50;490;1164;5089;3;"[52,502,679]";"[495,7678,9821]";"[3169,5089,5089]";"[5425,5143,5089]";8.00;11.00
2;50;490;2340;11839;3;"[52,1470,1629]";"[497,16467,16994]";"[6879,11839,11839]";"[12683,11867,11839]";22.00;28.00
2;50;490;2491;5919;5;"[52,1394,1417,1440,1583]";"[493,17480,17728,17848,19274]";"[3044,5919,5919,5919,5919]";"[6132,6009,6009,5943,5919]";56.00;68.00
2;50;490;4682;38501;3;"[52,2291,2481]";"[497,29952,31714]";"[16271,38501,38501]";"[42566,40326,38501]";47.00;71.00
2;50;490;797;3696;3;"[52,369,416]";"[498,4585,5025]";"[2349,3696,3696]";"[3820,3756,3696]";4.00;6.00
2;50;490;638;1755;3;"[52,316,324]";"[494,3869,3959]";"[946,1755,1755]";"[1970,1770,1755]";3.00;4.00
2;50;490;757;2737;3;"[52,240,242]";"[494,3347,3365]";"[1880,2737,2737]";"[3148,2785,2737]";2.00;3.00
2;50;490;4291;22951;4;"[52,1222,2037,2336]";"[495,16949,26875,29031]";"[13676,22951,22951,22951]";"[25141,23227,23023,22951]";60.00;82.00
2;50;490;230;1321;2;"[52,118]";"[495,1349]";"[662,1321]";"[1399,1321]";0.00;0.00
2;50;490;965;6125;3;"[52,306,348]";"[495,3030,3324]";"[5100,6125,6125]";"[6475,6215,6125]";2.00;3.00
2;50;490;7626;35520;4;"[52,4728,4911,5510]";"[497,56373,58633,64014]";"[22437,35515,35520,35520]";"[37573,35760,35526,35520]";287.00;277.00
2;50;490;1522;4423;5;"[52,924,1042,1065,1183]";"[494,10606,11409,11596,12166]";"[1919,4423,4423,4423,4423]";"[5299,4655,4631,4535,4423]";30.00;39.00
